version,model_file,l2_error_mm
87,iiwa7_N__zesty-dust-31__global_step=0.44M.pkl,5.3392
88,iiwa7_N__zesty-dust-31__global_step=0.445M.pkl,5.8195
89,iiwa7_N__zesty-dust-31__global_step=0.45M.pkl,5.9709
90,iiwa7_N__zesty-dust-31__global_step=0.455M.pkl,6.5655
91,iiwa7_N__zesty-dust-31__global_step=0.46M.pkl,5.0113
92,iiwa7_N__zesty-dust-31__global_step=0.465M.pkl,4.5424
93,iiwa7_N__zesty-dust-31__global_step=0.47M.pkl,5.1946
94,iiwa7_N__zesty-dust-31__global_step=0.475M.pkl,4.7067
95,iiwa7_N__zesty-dust-31__global_step=0.48M.pkl,8.5509
96,iiwa7_N__zesty-dust-31__global_step=0.485M.pkl,6.7408
97,iiwa7_N__zesty-dust-31__global_step=0.49M.pkl,5.4114
98,iiwa7_N__zesty-dust-31__global_step=0.495M.pkl,6.6371
99,iiwa7_N__zesty-dust-31__global_step=0.5M.pkl,6.3904
100,iiwa7_N__zesty-dust-31__global_step=0.505M.pkl,7.3362
101,iiwa7_N__zesty-dust-31__global_step=0.51M.pkl,7.5034
102,iiwa7_N__zesty-dust-31__global_step=0.515M.pkl,4.4141
103,iiwa7_N__zesty-dust-31__global_step=0.52M.pkl,6.4554
104,iiwa7_N__zesty-dust-31__global_step=0.525M.pkl,5.2445
105,iiwa7_N__zesty-dust-31__global_step=0.53M.pkl,6.4869
106,iiwa7_N__zesty-dust-31__global_step=0.535M.pkl,5.5909
107,iiwa7_N__zesty-dust-31__global_step=0.54M.pkl,6.2158
108,iiwa7_N__zesty-dust-31__global_step=0.545M.pkl,4.7528
109,iiwa7_N__zesty-dust-31__global_step=0.55M.pkl,5.8717
110,iiwa7_N__zesty-dust-31__global_step=0.555M.pkl,5.0091
111,iiwa7_N__zesty-dust-31__global_step=0.56M.pkl,5.037
112,iiwa7_N__zesty-dust-31__global_step=0.565M.pkl,7.6114
113,iiwa7_N__zesty-dust-31__global_step=0.57M.pkl,6.9051
114,iiwa7_N__zesty-dust-31__global_step=0.575M.pkl,4.2719
115,iiwa7_N__zesty-dust-31__global_step=0.58M.pkl,6.5904
116,iiwa7_N__zesty-dust-31__global_step=0.585M.pkl,4.1979
117,iiwa7_N__zesty-dust-31__global_step=0.59M.pkl,3.8531
118,iiwa7_N__zesty-dust-31__global_step=0.595M.pkl,6.6331
119,iiwa7_N__zesty-dust-31__global_step=0.6M.pkl,4.7036
120,iiwa7_N__zesty-dust-31__global_step=0.605M.pkl,5.6963
121,iiwa7_N__zesty-dust-31__global_step=0.61M.pkl,4.584
122,iiwa7_N__zesty-dust-31__global_step=0.615M.pkl,5.85
123,iiwa7_N__zesty-dust-31__global_step=0.62M.pkl,4.3148
124,iiwa7_N__zesty-dust-31__global_step=0.625M.pkl,4.3607
125,iiwa7_N__zesty-dust-31__global_step=0.63M.pkl,5.0912
126,iiwa7_N__zesty-dust-31__global_step=0.635M.pkl,7.8312
127,iiwa7_N__zesty-dust-31__global_step=0.64M.pkl,5.7299
128,iiwa7_N__zesty-dust-31__global_step=0.645M.pkl,3.2869
129,iiwa7_N__zesty-dust-31__global_step=0.65M.pkl,5.6224
130,iiwa7_N__zesty-dust-31__global_step=0.655M.pkl,8.2712
131,iiwa7_N__zesty-dust-31__global_step=0.66M.pkl,5.326
132,iiwa7_N__zesty-dust-31__global_step=0.665M.pkl,6.517
133,iiwa7_N__zesty-dust-31__global_step=0.67M.pkl,5.6629
134,iiwa7_N__zesty-dust-31__global_step=0.675M.pkl,4.9237
135,iiwa7_N__zesty-dust-31__global_step=0.68M.pkl,3.9373
136,iiwa7_N__zesty-dust-31__global_step=0.685M.pkl,6.1301
137,iiwa7_N__zesty-dust-31__global_step=0.69M.pkl,5.294
138,iiwa7_N__zesty-dust-31__global_step=0.695M.pkl,6.6637
139,iiwa7_N__zesty-dust-31__global_step=0.7M.pkl,5.2003
140,iiwa7_N__zesty-dust-31__global_step=0.705M.pkl,5.1599
141,iiwa7_N__zesty-dust-31__global_step=0.71M.pkl,8.1709
142,iiwa7_N__zesty-dust-31__global_step=0.715M.pkl,6.3619
143,iiwa7_N__zesty-dust-31__global_step=0.72M.pkl,4.8727
144,iiwa7_N__zesty-dust-31__global_step=0.725M.pkl,4.539
145,iiwa7_N__zesty-dust-31__global_step=0.73M.pkl,6.0543
146,iiwa7_N__zesty-dust-31__global_step=0.735M.pkl,4.8591
147,iiwa7_N__zesty-dust-31__global_step=0.74M.pkl,4.0927
148,iiwa7_N__zesty-dust-31__global_step=0.745M.pkl,5.5835
149,iiwa7_N__zesty-dust-31__global_step=0.75M.pkl,4.9118
150,iiwa7_N__zesty-dust-31__global_step=0.755M.pkl,5.2251
151,iiwa7_N__zesty-dust-31__global_step=0.76M.pkl,5.9686
152,iiwa7_N__zesty-dust-31__global_step=0.765M.pkl,4.9426
153,iiwa7_N__zesty-dust-31__global_step=0.77M.pkl,5.1861
154,iiwa7_N__zesty-dust-31__global_step=0.775M.pkl,4.6022
155,iiwa7_N__zesty-dust-31__global_step=0.78M.pkl,5.7609
156,iiwa7_N__zesty-dust-31__global_step=0.785M.pkl,5.5117
157,iiwa7_N__zesty-dust-31__global_step=0.79M.pkl,5.6373
158,iiwa7_N__zesty-dust-31__global_step=0.795M.pkl,7.915
159,iiwa7_N__zesty-dust-31__global_step=0.8M.pkl,7.2484
160,iiwa7_N__zesty-dust-31__global_step=0.805M.pkl,5.7484
161,iiwa7_N__zesty-dust-31__global_step=0.81M.pkl,5.2936
162,iiwa7_N__zesty-dust-31__global_step=0.815M.pkl,6.6431
163,iiwa7_N__zesty-dust-31__global_step=0.82M.pkl,4.9912
164,iiwa7_N__zesty-dust-31__global_step=0.825M.pkl,4.56
165,iiwa7_N__zesty-dust-31__global_step=0.83M.pkl,5.2193
166,iiwa7_N__zesty-dust-31__global_step=0.835M.pkl,3.8759
167,iiwa7_N__zesty-dust-31__global_step=0.84M.pkl,4.9693
168,iiwa7_N__zesty-dust-31__global_step=0.845M.pkl,4.47
169,iiwa7_N__zesty-dust-31__global_step=0.85M.pkl,5.8043
170,iiwa7_N__zesty-dust-31__global_step=0.855M.pkl,4.3349
171,iiwa7_N__zesty-dust-31__global_step=0.86M.pkl,4.5793
172,iiwa7_N__zesty-dust-31__global_step=0.865M.pkl,6.4251
173,iiwa7_N__zesty-dust-31__global_step=0.87M.pkl,4.9104
174,iiwa7_N__zesty-dust-31__global_step=0.875M.pkl,5.3465
175,iiwa7_N__zesty-dust-31__global_step=0.88M.pkl,7.9005
176,iiwa7_N__zesty-dust-31__global_step=0.885M.pkl,7.6421
177,iiwa7_N__zesty-dust-31__global_step=0.89M.pkl,5.5395
178,iiwa7_N__zesty-dust-31__global_step=0.895M.pkl,5.2162
179,iiwa7_N__zesty-dust-31__global_step=0.9M.pkl,5.4353
180,iiwa7_N__zesty-dust-31__global_step=0.905M.pkl,6.1398
181,iiwa7_N__zesty-dust-31__global_step=0.91M.pkl,7.0536
182,iiwa7_N__zesty-dust-31__global_step=0.915M.pkl,5.1953
183,iiwa7_N__zesty-dust-31__global_step=0.92M.pkl,6.4533
184,iiwa7_N__zesty-dust-31__global_step=0.925M.pkl,7.4231
185,iiwa7_N__zesty-dust-31__global_step=0.93M.pkl,6.6387
186,iiwa7_N__zesty-dust-31__global_step=0.935M.pkl,6.6991
